Bookmaker,Sport,Player Props,Pre-match odds,Live odds,Markets
Bet9ja 🆕,Ice Hockey,No,Yes,No,ML
Bet9ja 🆕,Tennis,No,Yes,No,ML
Bet9ja 🆕,Volleyball,No,Yes,No,ML
BetFlag IT,American Football,No,Yes,No,"Spread, Totals"
BetFlag IT,Badminton,No,Yes,Yes,ML
BetFlag IT,Bandy,No,Yes,No,ML
BetFlag IT,Baseball,No,Yes,No,"ML, Spread, Totals"
BetFlag IT,Basketball,No,Yes,Yes,"ML, Spread, Totals"
BetFlag IT,Boxing,No,Yes,No,ML
BetFlag IT,Cricket,No,Yes,Yes,ML
BetFlag IT,Darts,No,Yes,No,ML
BetFlag IT,Field hockey,No,Yes,No,ML
BetFlag IT,Floorball,No,Yes,No,ML
BetFlag IT,Football,No,Yes,Yes,"ML, Totals, Totals HT, ML HT"
BetFlag IT,Futsal,No,Yes,No,ML
BetFlag IT,Handball,No,Yes,No,"Totals, 3-Way Result"
BetFlag IT,Ice Hockey,No,Yes,Yes,3-Way Result
BetFlag IT,Rugby,No,Yes,No,"ML, Spread, Totals"
BetFlag IT,Snooker,No,Yes,No,ML
BetFlag IT,Squash,No,Yes,No,ML
BetFlag IT,Tennis,No,Yes,Yes,"ML, First Set Winner, Spread (Games), Totals (Games)"
BetFlag IT,Volleyball,No,Yes,Yes,ML
BetFlag IT,Waterpolo,No,Yes,No,ML
BetMGM,Basketball,No,Yes,No,"ML, Spread, Totals, Totals HT, Both Teams To Score, First Team To Score"
BetMGM,Football,No,Yes,No,"ML, Spread, Totals, Draw No Bet, Totals HT, Team Total Home, Team Total Away, Both Teams To Score, Correct Score, First Team To Score, Half Time / Full Time, ML HT, Odd/Even"
BetMGM,Handball,No,Yes,No,"Spread, Totals, 3-Way Result"
BetMGM,Ice Hockey,No,Yes,No,"ML, Spread, Totals, Both Teams To Score"
BetMGM,Tennis,No,Yes,No,"ML, Totals"
BetMGM,Volleyball,No,Yes,No,ML
BetMGM BR,Cricket,No,Yes,No,ML
BetMGM BR,Honor Of Kings,No,Yes,No,Spread
BetMGM BR,Rocket League,No,Yes,No,Spread
BetMGM BR 🆕,American Football,No,Yes,Yes,"ML, Spread"
BetMGM BR 🆕,Baseball,No,Yes,No,"ML, Spread"
BetMGM BR 🆕,Basketball,Yes,Yes,Yes,"ML, Spread, Totals, Player Props, 3-Way Result"
BetMGM BR 🆕,Esports,No,Yes,Yes,"ML, Spread, 3-Way Result"
BetMGM BR 🆕,Football,Yes,Yes,Yes,"ML, Spread, Totals, Corners Spread, Corners Totals, Bookings Spread, Bookings Totals, Anytime Goalscorer, Corners Totals Away, Corners Totals Home, Goalkeeper Saves, Goalkeeper Saves Away, Goalkeeper Saves Home, Player Fouls, Player Shots, Player Shots on Target, Player To Assist, Player To Score or Assist, To Score 2+ Goals, To Score 3+ Goals, Total Fouls, Total Fouls Away, Total Fouls Home, Total Offsides, Total Shots, Total Shots Away, Total Shots Home, Total Shots on Target, Total Shots on Target Away, Total Shots on Target Home"
BetMGM BR 🆕,Handball,No,Yes,Yes,"ML, Spread, Totals, 3-Way Result"
BetMGM BR 🆕,Ice Hockey,Yes,Yes,Yes,"ML, Spread, 3-Way Result, Player Points, Player Shots, To Score 2+ Goals, To Score 3+ Goals"
BetMGM BR 🆕,Rugby,No,Yes,No,"Spread, Totals, 3-Way Result"
BetMGM BR 🆕,Tennis,No,Yes,Yes,"ML, Spread"
BetMGM BR 🆕,Volleyball,No,Yes,Yes,"ML, Spread, Totals"
